Movie Hebrew name,Movie name,Extra name,Year,Movie type,Grade,Lead actor\ess,Language
,Genova,,2008,Drama,OK,Colin Firth,English
אלוהים על דוכן הנאשמים,God on Trial,,2008,Drama,Less,,English
"להתראות, סולו",Goodbye Solo,,2008,Drama,OK,,English
גראן טורינו,Gran Torino,,2008,Drama,Good,Clint Eastwood,English
חלאקה,Halakeh,,2008,Drama,Less,Hani Furstenberg,English
לאהוב אותך מאז,Il y a longtemps que je t'aime,,2008,Drama,Less,Kristin Scott Thomas,English
,Johnny Mad Dog,,2008,Drama,OK,,English
,Jolene,,2008,Drama,OK,Jessica Chastain,English
,La cámara oscura,,2008,Drama,Pass,,Italian
,L'instinct de mort,Mesrine: Part 1 - Killer Instinct,2008,Drama,OK,,French
,Make It Happen,,2008,Drama,Less,,English
מילק,Milk,,2008,Drama,OK,Sean Penn,English
פרידות,Okuribito,Departures,2008,Drama,Less,,Asian
,One Week,,2008,Drama,OK,,English
,Passengers,,2008,Drama,Good,Anne Hathaway,English
רייצ'ל מתחתנת,Rachel Getting Married,,2008,Drama,Less,Anne Hathaway,English
חלון פנורמי,Revolutionary Road,,2008,Drama,OK,Leonardo DiCaprio,English
,Sappho,,2008,Drama,Bad,,English
שבע נשמות,Seven Pounds,,2008,Drama,OK,Will Smith,English
,Sleepwalking ,,2008,Drama,Less,Charlize Theron,English
נער החידות ממומביי,Slumdog Millionaire,,2008,Drama,Good,,English
אביב 1941,Spring 1941,,2008,Drama,OK,,English
,Stone of Destiny,,2008,Drama,Less,Kate Mara,English
הסיפור המופלא של בנג'מין באטן,The Curious Case of Benjamin Button,,2008,Drama,OK,Brad Pitt,English
,The Memory Keeper's Daughter,,2008,Drama,Pass,,English
נער קריאה,The Reader,,2008,Drama,Good,Kate Winslet,English
סוד החיים של הדבורים,The Secret Life of Bees,,2008,Drama,OK,Dakota Fanning,English
,Trucker,,2008,Drama,OK,Michelle Monaghan,English
שתי אהבות,Two Lovers,,2008,Drama,OK,Gwyneth Paltrow,English
,Wendy and Lucy,,2008,Drama,Less,Michelle Williams,English
,What Doesn't Kill You,,2008,Drama,Less,Amanda Peet,English
,Winged Creatures,,2008,Drama,OK,Dakota Fanning,English
,Zomerhitte,,2008,Drama,Less,,Dutch
חסר מנוחה,חסר מנוחה,,2008,Drama,Less,Moshe Ivgy,Hebrew
שבעה,שבעה,,2008,Drama,Less,Moshe Ivgy,Hebrew
הכתובה,,,2008,Drama,Less,,English
,Birds of America ,,2008,Drama,Less,Matthew Perry,English
,Deal,,2008,Drama,Less,Shannon Elizabeth,English
קלת דעת,Easy Virtue,,2008,Drama,Less,Jessica Biel,English
שלום ולהתראות,Hello Goodbye,,2008,Drama,OK,Gérard Depardieu,French
,Henry Poole Is Here,,2008,Drama,Good,Luke Wilson,English
,Lymelife,,2008,Drama,Less,Alec Baldwin,English
,"Nido vacío, El",Empty Nest ,2008,Drama,Bad,,English
אנשים חכמים,Smart People,,2008,Drama,OK,Dennis Quaid,English
סאנשיין בע''מ,Sunshine Cleaning,,2008,Drama,Good,Amy Adams,English
בני מזל,The Lucky Ones,,2008,Drama,Good,Tim Robbins,English
השיגעון,The Wackness,,2008,Drama,Less,Ben Kingsley,English
הנשים,The Women,,2008,Drama,Good,Meg Ryan,English
ויקי כריסטינה ברצלונה,Vicky Cristina Barcelona,,2008,Drama,OK,Scarlett Johansson,English
,Admiral,,2008,Drama,OK,,Russian
,Che: Part One,,2008,Drama,OK,,Spanish
,Che: Part Two,,2008,Drama,Pass,,English
,Einstein and Eddington,,2008,Drama,OK,,English
פרוסט/ניקסון,Frost/Nixon,,2008,Drama,OK,Michael Sheen,English
,Il divo,,2008,Drama,OK,,English
,L'ennemi public n°1,Mesrine: Public Enemy No  1,2008,Drama,Less,,English
סוכנות חשאיות,Les femmes de l'ombre,Female Agents ,2008,Drama,OK,Sophie Marceau,French
אל תביטי למטה,No mires para abajo,Don't Look Down,2008,Drama,Pass,,Spanish
הנער בפיג'מת הפסים,The Boy in the Striped Pyjamas,,2008,Drama,Good,,English
הדוכסית,The Duchess,,2008,Drama,OK,Keira Knightley,English
,The Edge of Love,,2008,Drama,Less,,English
,The Longshots,,2008,Drama,Good,Ice Cube,English
המתאבק,The Wrestler,,2008,Drama,Less,Mickey Rourke,English
"10,000 לפני הספירה","10,000 B.C.",,2008,Adventure,OK,,English
,A Viking Saga,A Viking Saga: Son of Thor,2008,Adventure,Less,,English
,City of Ember,,2008,Adventure,Good,Bill Murray,English
,Der rote Baron,,2008,Adventure,OK,,English
המירוץ לזהב,Fool's Gold,,2008,Adventure,OK,Kate Hudson,English
מסע אל בטן האדמה,Journey to the Center of the Earth,,2008,Adventure,Good,Brendan Fraser,English
ג'אמפר,Jumper,,2008,Adventure,Less,Samuel L. Jackson,English
,Odysseus & the Isle of Mists,Odysseus Voyage To The Underworld,2008,Adventure,OK,,English
סיפורי נרניה: הנסיך כספיאן,The Chronicles of Narnia: Prince Caspian,,2008,Adventure,OK,,English
,The Flyboys,Sky Kids,2008,Adventure,Less,Jesse James,English
,The Librarian: The Curse of the Judas Chalice,,2008,Adventure,Less,Noah Wyle,English
,The Mummy 3: Tomb of the Dragon Emperor,,2008,Adventure,Good,Brendan Fraser,English
,The Scorpion King 2: Rise of a Warrior,,2008,Adventure,OK,,English
7 דקות בגן עדן,7 דקות בגן עדן,Seven Minutes in Heaven,2008,Israeli,,,Hebrew
מפטיר,Maftir,,2008,Israeli,Less,Amos Lavi,Hebrew
אילי ובן,אילי ובן,,2008,Israeli,Less,Lior Ashkenazi,Hebrew
הכל מתחיל בים,הכל מתחיל בים,It All Begins at Sea,2008,Israeli,OK,,Hebrew
ואלס עם באשיר,ואלס עם באשיר,Walce with Bashir,2008,Israeli,Very good,,Hebrew
עץ לימון,עץ לימון,Lemon Tree,2008,Israeli,OK,,Hebrew-English
,100 Million BC,,2008,SF,Less,,English
,Cheung Gong 7 hou,CJ7,2008,SF,OK,,Asian
קלוברפילד,Cloverfield,,2008,SF,Bad,,English
,Dante 01,,2008,SF,Less,,French
,Doomsday,,2008,SF,OK,Bob Hoskins,English
,Fire & Ice,,2008,SF,OK,,English
פרנקלין,Franklyn,,2008,SF,Less,Eva Green,English
הנקוק,Hancock,,2008,SF,Good,Will Smith,English
לב של דיו,Inkheart,,2008,SF,OK,Brendan Fraser,English
,Midnight Chronicles,,2008,SF,Less,,English
,Obitaemyy ostrov,The Inhabited Island,2008,SF,OK,,Russian
נחיתה רכה,Outlander,,2008,SF,Good,James Caviezel,English
,Stargate: Continuum ,,2008,SF,OK,,English
,Stargate: The Ark of Truth,,2008,SF,OK,,English
,Starship Troopers 3: Marauder,,2008,SF,Good,,English
,The Andromeda Strain,,2008,SF,Good,Benjamin Bratt,English
,The Colour of Magic,,2008,SF,OK,Tim Curry,English
האביר האפל,The Dark Knight,,2008,SF,Good,Michael Caine,English
כשהעולם עמד מלכת,The Day the Earth Stood Still,,2008,SF,Good,Keanu Reeves,English
הענק הירוק,The Incredible Hulk,,2008,SF,OK,Edward Norton,English
,The Secret of Moonacre,,2008,SF,OK,Tim Curry,English
,The X Files: I Want to Believe,,2008,SF,Less,David Duchovny,English
דמדומים,Twilight,,2008,SF,OK,,English
,War of the Worlds 2: The Next Wave,,2008,SF,OK,,English
,Camp Rock,,2008,Musical,OK,,English
,Center Stage: Turn It Up,,2008,Musical,Less,,English
,Dr. Horrible's Sing-Along Blog,,2008,Musical,OK,,English
היי סקול מיוזיקל 3: גומרים תיכון,High School Musical 3: Senior Year,,2008,Musical,OK,Ashley Tisdale,English
מאמא מיה!,Mamma Mia!,,2008,Musical,Good,Meryl Streep,English
סטפ טפ 2,Step Up 2: The Streets,,2008,Musical,Less,,English
סטפ אפ 2,Step Up 2: The Streets,,2008,Musical,Less,,English
,Aamir,,2008,Thriller,Less,,English
עלטה,Blackout,,2008,Thriller,Less,,English
על העיוורון,Blindness,,2008,Thriller,OK,Julianne Moore,English
גוף השקרים,Body of Lies,,2008,Thriller,OK,Leonardo DiCaprio,English
,Clean Break,,2008,Thriller,Less,Tara Reid,English
,Cold Heart Canyon,,2008,Thriller,Less,,English
,Columbus Day ,,2008,Thriller,OK,Val Kilmer,English
הונאה,Deception,,2008,Thriller,Good,Ewan McGregor,English
,Donkey Punch,,2008,Thriller,OK,,English
לכודים ברשת,Eagle Eye,,2008,Thriller,Very good,Michelle Monaghan,English
,Eden Lake,,2008,Thriller,Less,,English
,Emerald Falls,,2008,Thriller,Less,,English
מהיר ועצבני 4,Fast Track: No Limits,,2008,Thriller,OK,,English
,Felon ,,2008,Thriller,OK,Val Kilmer,English
50 גברים מתים מהלכים,Fifty Dead Men Walking,,2008,Thriller,OK,Ben Kingsley,English
,Flammen & Citronen,Flame and Citron,2008,Thriller,OK,,English
,Hell Ride,,2008,Thriller,Less,,English
נקודת פגיעה,Impact Point,,2008,Thriller,Pass,,English
דחף,Impulse,,2008,Thriller,Pass,,English
ברוז',In Bruges,,2008,Thriller,Good,Colin Farrell,English
,Incendiary,,2008,Thriller,Less,Ewan McGregor,English
קיל שוט,Killshot,,2008,Thriller,Less,Diane Lane,English
,Lakeview Terrace,,2008,Thriller,Less,Samuel L. Jackson,English
,Largo Winch,,2008,Thriller,Less,,French
,MR 73,,2008,Thriller,OK,,French
,Nothing But the Truth,,2008,Thriller,Good,Kate Beckinsale,English
גאווה ותהילה,Pride and Glory,,2008,Thriller,Good,Edward Norton,English
,Quid Pro Quo ,,2008,Thriller,Less,,English
,Red,,2008,Thriller,OK,Brian Cox,English
,Restraint,,2008,Thriller,Less,,English
רצח מוצדק,Righteous Kill,,2008,Thriller,Good,Robert De Niro,English
,Secret défense,,2008,Thriller,Good,,French
סודות מדינה,Secret défense,Secrets Of State,2008,Thriller,OK,,French
מלכי הרחוב,Street Kings,,2008,Thriller,OK,Keanu Reeves,English
,Surveillance ,,2008,Thriller,Less,,English
הרכות שלפני החשיכה,Tenderness,,2008,Thriller,Less,Russell Crowe,English
,The Alphabet Killer,,2008,Thriller,OK,,English
הג'וב הבריטי,The Bank Job,,2008,Thriller,Good,Jason Statham,English
,The Betrayed,,2008,Thriller,OK,Oded Fehr,English
,The Collective ,,2008,Thriller,Less,,English
,The Escapist ,,2008,Thriller,Good,Damian Lewis,English
ביום שזה יקרה,The Happening,,2008,Thriller,Less,Mark Wahlberg,English
לילות אל.איי,The Informers,,2008,Thriller,Less,Kim Basinger,English
פרוייקט לזרוס,The Lazarus Project,,2008,Thriller,Less,Paul Walker,English
,The Oxford Murders,,2008,Thriller,OK,Elijah Wood,English
,Tortured ,,2008,Thriller,Less,Laurence Fishburne,English
,Traitor ,,2008,Thriller,Good,Guy Pearce,English
,Transsiberian,,2008,Thriller,Good,Woody Harrelson,English
ללא עקבות,Untraceable,,2008,Thriller,Good,Diane Lane,English
מבצע ואלקירי,Valkyrie,,2008,Thriller,Good,Tom Cruise,English
8 צדדים לאמת,Vantage Point,,2008,Thriller,Good,Dennis Quaid,English
,Wargames: The Dead Code,,2008,Thriller,OK,,English
,While She Was Out,,2008,Thriller,Less,Kim Basinger,English
13 - המזימה,XIII: The Movie,XIII: The Conspiracy,2008,Thriller,OK,,English
,2012 Doomsday,,2008,Thriller,Less,,English
,Joy Ride 2: Dead Ahead,,2008,Thriller,Less,,English
תחנת עצירה 2: אל תביטו לאחור,Rest Stop: Don't Look Back,,2008,Thriller,Pass,,English
,Shuttle,,2008,Thriller,Less,,English
,The Cook,,2008,Thriller,Less,,English
הצוק האדום,Chi bi,Red Cliff,2008,War,Good,,Asian
התנגדות,Defiance,,2008,War,Very good,Daniel Craig,English
,In Tranzit,,2008,War,OK,John Malkovich,English
,Max Manus,,2008,War,Less,,Mixed
,Miracle at St. Anna,,2008,War,Good,,English
,My iz budushchego,We Are from the Future,2008,War,OK,,Russian
,Stop-Loss,,2008,War,OK,Channing Tatum,English
ילדי הואנג שי,The Children of Huang Shi,,2008,War,OK,,Asian
,The Hurt Locker,,2008,War,Good,Guy Pearce,English
אפאלוסה,Appaloosa,,2008,Western,OK,Renée Zellweger,English
בולט,Bolt,,2008,Animated,Very good,,English
,Delgo,,2008,Animated,OK,,English
,Dragon Hunters,,2008,Animated,OK,,English
רומח הדרקון: דרקונים של דמדומי הסתיו,Dragonlance: Dragons of Autumn Twilight,,2008,Animated,Pass,,English
,El lince perdido,Missing Lynx,2008,Animated,OK,,English
הרפתקאות פרז ופניני השיניים 2,El ratón Pérez 2,The Hairy Tooth Fairy 2,2008,Animated,OK,,English
טרמפ לירח,Fly Me to the Moon,,2008,Animated,Good,,English
,Futurama: The Beast with a Billion Backs,,2008,Animated,OK,,English
פוניו על הצוק ליד הים,Gake no ue no Ponyo,Ponyo on the Cliff by the Sea,2008,Animated,OK,,Asian
הורטון שומע מישהו,Horton Hears a Who!,,2008,Animated,Good,,English
הורטון שומע מישהו,Horton Hears a Who!,,2008,Animated,Very good,,English
איגור,Igor,,2008,Animated,Good,,English
קונג פו פנדה,Kung Fu Panda,,2008,Animated,Good,,English
,Kung Fu Panda: Secrets of the Furious Five,,2008,Animated,OK,,English
מדגסקר 2,Madagascar: Escape To Africa,,2008,Animated,Very good,,English
חברים על הכוונת 2,Open Season 2,,2008,Animated,Good,,English
חברים על הכוונת 2,Open Season 2,,2008,Animated,Good,,English
,Presto,,2008,Animated,Very good,,English
,Resident Evil: Degeneration,,2008,Animated,OK,,English
,South Park: Imaginationland,,2008,Animated,Less,,English
קופים בחלל,Space Chimps,,2008,Animated,OK,,Hebrew
,Surviving Sid,,2008,Animated,Good,,English
סיפורי שפת הנחל,Tales of the Riverbank,,2008,Animated,Less,,English
הפיל הכחול,The Blue Elephant,Khan kluay,2008,Animated,OK,,English
דספרו,The Tale of Despereaux,,2008,Animated,Good,,English
,Tokyo Mater,,2008,Animated,Very good,,English
,Tripping the Rift: The Movie,,2008,Animated,Less,,English
,Urmel voll in Fahrt,Impy's Wonderland,2008,Animated,OK,,English
וול-E,Wall·E,,2008,Animated,Good,,English
,Another Cinderella Story,,2008,Family,OK,,English
סיפורים לפני השינה,Bedtime Stories,,2008,Family,Very good,Adam Sandler,English
הצ'יוואווה מבברלי הילס,Beverly Hills Chihuahua,,2008,Family,OK,Drew Barrymore,English
,Four Christmases,,2008,Family,Good,Vince Vaughn,English
,Kit Kittredge: An American Girl ,,2008,Family,Good,Chris O'Donnell,English
,Mostly Ghostly,,2008,Family,Less,,English
האי של נים,Nim's Island,,2008,Family,Bad,Jodie Foster,English
,Soccer Mom,,2008,Family,Less,,English
ספיד רייסר,Speed Racer,,2008,Family,Good,Christina Ricci,English
עלילות ספיידרוויק,The Spiderwick Chronicles,,2008,Family,OK,Nick Nolte,English
,Wild Child,,2008,Family,OK,,English
,Harold,,2008,Comedy,OK,Cuba Gooding Jr.,English
,Picture This,,2008,Comedy,OK,Ashley Tisdale,English
אחוות הג'ינס 2,The Sisterhood of the Traveling Pants 2,,2008,Comedy,OK,,English
80 דקות,80 Minutes,,2008,Action,Pass,,English
,Babylon A.D.,,2008,Action,OK,Vin Diesel,English
בנגקוק מסוכנת,Bangkok Dangerous,,2008,Action,OK,Nicolas Cage,English
שוקולד,Chocolate,,2008,Action,Pass,,Asian
,Contract Killers,,2008,Action,Less,,English
,Deadwater,Black Ops ,2008,Action,OK,,English
,Death Race,,2008,Action,Good,Jason Statham,English
,Far Cry,,2008,Action,Pass,,English
קו הסיום,Finish Line,,2008,Action,Pass,,English
,Get Smart's Bruce and Lloyd Out of Control,,2008,Action,Less,,English
הלבוי 2: הצבא המוזהב,Hellboy II: The Golden Army,,2008,Action,OK,,English
,Hero Wanted,,2008,Action,OK,Cuba Gooding Jr.,English
אינדיאנה ג'ונס וממלכת גולגולת הבדולח,Indiana Jones and the Kingdom of the Crystal Skull,,2008,Action,Good,Harrison Ford,English
איירון מן,Iron Man,,2008,Action,Good,Robert Downey Jr.,English
,Kill Switch ,,2008,Action,Bad,Steven Seagal,English
,Kiss Me Deadly,,2008,Action,Less,Shannen Doherty,English
,Knight Rider,,2008,Action,Less,David Hasselhoff,English
רוצח הקונג פו,Kung Fu Killer,,2008,Action,Pass,Daryl Hannah,English
,Kwong saan mei yan,An Empress and the Warriors,2008,Action,OK,,Asian
,Linewatch,,2008,Action,Good,Cuba Gooding Jr.,English
,L'instinct de mort,Public Enemy Number One (Part 1),2008,Action,Less,Gérard Depardieu,English
,Love Lies Bleeding,,2008,Action,Less,,English
מקס פיין,Max Payne,,2008,Action,Good,Mark Wahlberg,English
,Never Back Down,,2008,Action,Good,,English
,Pistol Whipped,,2008,Action,Less,Steven Seagal,English
,Punisher: War Zone,,2008,Action,Less,,English
007 - קוונטום של נחמה,Quantum of Solace,,2008,Action,Good,Daniel Craig,English
ג'ון רמבו,Rambo,Rambo 4,2008,Action,OK,Sylvester Stallone,English
,Redbelt,,2008,Action,Less,Tim Allen,English
,Rigged,Fight Night,2008,Action,Bad,,English
,Saam gwok dzi gin lung se gap,Three Kingdoms: Resurrection of the Dragon,2008,Action,OK,,Asian
,Stiletto,,2008,Action,Less,Tom Berenger,English
,Street Racer,,2008,Action,Pass,,English
חטופה,Taken,,2008,Action,Good,Liam Neeson,English
,The Art of War II: Betrayal,,2008,Action,Less,Wesley Snipes,English
הממלכה האסורה,The Forbidden Kingdom,,2008,Action,OK,Jet Li,Asian
,The Mutant Chronicles,,2008,Action,OK,,English
,The Shepherd: Border Patrol,,2008,Action,OK,Jean-Claude Van Damme,English
,The Spirit ,,2008,Action,OK,,English
המשלח 3,Transporter 3,,2008,Action,Good,Jason Statham,English
מבוקש,Wanted,,2008,Action,OK,Angelina Jolie,English
ייפ מאן,Yip Man,Ip Man,2008,Action,OK,,Asian
,A Bunch of Amateurs,,2008,Comedy,Good,Burt Reynolds,English
,An American Carol ,,2008,Comedy,Less,Dennis Hopper,English
,Another Gay Sequel: Gays Gone Wild!,,2008,Comedy,Less,,English
,Astérix aux jeux olympiques,,2008,Comedy,OK,Gérard Depardieu,French
ברוכים הבאים לצפון,Bienvenue chez les Ch'tis,,2008,Comedy,OK,,French
ברוכים הבאים לצפון,Bienvenue chez les Ch'tis,,2008,Comedy,Less,,French
לקרוא ולשרוף,Burn After Reading,,2008,Comedy,Good,George Clooney,English
,Choke ,,2008,Comedy,Less,,English
,Chris Rock: Kill the Messenger,,2008,Comedy,OK,Chris Rock,English
,College Road Trip,,2008,Comedy,Good,Martin Lawrence,English
דיזסטר מובי,Disaster Movie,,2008,Comedy,Less,Carmen Electra,English
,Drillbit Taylor ,,2008,Comedy,OK,Owen Wilson,English
,Extreme Movie,,2008,Comedy,OK,,English
,Fanboys,,2008,Comedy,OK,Kristen Bell,English
,Finding Amanda,,2008,Comedy,Less,Matthew Broderick,English
,Hank and Mike,,2008,Comedy,Good,,English
חופשייה ומאושרת,Happy-Go-Lucky,,2008,Comedy,OK,,English
,How to Lose Friends & Alienate People,,2008,Comedy,OK,Simon Pegg,English
לואי סי קיי: לעוס,Louis C.K.: Chewed Up,,2008,Comedy,Pass,,English
,Lower Learning,,2008,Comedy,Less,Jason Biggs,English
לא דופקות חשבון,Mad Money,,2008,Comedy,Good,Diane Keaton,English
לפגוש את דייב,Meet Dave,,2008,Comedy,Good,Eddie Murphy,English
,Meet the Spartans,,2008,Comedy,OK,Carmen Electra,English
,Miss Conception,,2008,Comedy,Less,Heather Graham,English
,Pineapple Express,,2008,Comedy,OK,Seth Rogen,English
,Semi-Pro,,2008,Comedy,OK,Will Ferrell,English
אחים חורגים,Step Brothers,,2008,Comedy,Less,Will Ferrell,English
טבע מוזר,Strange Wilderness,,2008,Comedy,Less,Steve Zahn,English
סופרהירו,Superhero Movie,,2008,Comedy,OK,,English
אולי תתבגר,Swing Vote,,2008,Comedy,OK,Kevin Costner,English
הנוכלים בלום,The Brothers Bloom,,2008,Comedy,OK,Rachel Weisz,English
,The Great Buck Howard,,2008,Comedy,Good,John Malkovich,English
,The Love Guru,,2008,Comedy,OK,Mike Myers,English
,The Onion Movie,,2008,Comedy,OK,Steven Seagal,English
,The Promotion,,2008,Comedy,Less,Seann William Scott,English
,The Rocker,,2008,Comedy,Very good,Emma Stone,English
,Three and Out ,,2008,Comedy,Less,,English
מה בדיוק קרה?,What Just Happened,,2008,Comedy,Less,Robert De Niro,English
אל תתעסקו עם הזוהן,You Don't Mess with the Zohan,,2008,Comedy,Very good,Adam Sandler,English
איים אבודים,איים אבודים,Lost Islands,2008,Comedy,OK,Oshri Cohen,English
27 שמלות,27 Dresses,,2008,Comedy,Good,Katherine Heigl,English
,Baby Mama,,2008,Comedy,OK,Sigourney Weaver,English
,"Definitely, Maybe ",,2008,Comedy,Good,Ryan Reynolds,English
קח את זה כמו גבר,Forgetting Sarah Marshall,,2008,Comedy,Good,Kristen Bell,English
עיר רפאים,Ghost Town,,2008,Comedy,Good,,English
,Gigantic,,2008,Comedy,Less,Zooey Deschanel,English
הוא פשוט לא בקטע שלך,He's Just Not That Into You,,2008,Comedy,Good,Jennifer Aniston,English
,I Can't Think Straight,,2008,Comedy,OK,Lisa Ray,English
,Jack and Jill vs. the World,,2008,Comedy,OK,,English
הזדמנות אחרונה לאהבה,Last Chance Harvey,,2008,Comedy,Good,Dustin Hoffman,English
,Leatherheads,,2008,Comedy,OK,Renée Zellweger,English
ארוס עליה,Made of Honor,,2008,Comedy,OK,Patrick Dempsey,English
לגעת בך,Management,,2008,Comedy,Good,Jennifer Aniston,English
מארלי ואני,Marley & Me,,2008,Comedy,Very good,Owen Wilson,English
מיס פטיגרו,Miss Pettigrew Lives for a Day,,2008,Comedy,Good,Amy Adams,English
החברה של החבר הכי טוב שלי,My Best Friend's Girl,,2008,Comedy,Less,Kate Hudson,English
החבר החדש של אמא שלי,My Mom's New Boyfriend,,2008,Comedy,OK,Meg Ryan,English
,My Sassy Girl,,2008,Comedy,Less,Elisha Cuthbert,English
,Nick and Norah's Infinite Playlist ,,2008,Comedy,Good,Kat Dennings,English
על גופתה המתה,Over Her Dead Body,,2008,Comedy,Good,Eva Longoria Parker,English
פריס,Paris,,2008,Comedy,OK,Juliette Binoche,French
,"Surfer, Dude",,2008,Comedy,OK,Matthew McConaughey,English
בעל מזדמן,The Accidental Husband,,2008,Comedy,OK,Uma Thurman,English
,The Other End of the Line,,2008,Comedy,Good,,English
,"Welcome Home, Roscoe Jenkins",,2008,Comedy,OK,Martin Lawrence,English
מה שקורה בוגאס,What Happens in Vegas..,,2008,Comedy,Good,Ashton Kutcher,English
יס מן,Yes Man,,2008,Comedy,Good,Jim Carrey,English
זאק ומירי עושים פורנו,Zack and Miri Make a Porno,,2008,Comedy,Good,Seth Rogen,English
,Assassination of a High School President,,2008,Comedy,Good,Bruce Willis,English
,Bachelor Party 2: The Last Temptation,,2008,Comedy,OK,,English
אמריקן קולג',College,,2008,Comedy,OK,Alona Tal,English
,Foreign Exchange,,2008,Comedy,Less,,English
,Foreign Exchange,,2008,Comedy,Less,,English
,Harold & Kumar Escape from Guantanamo Bay ,,2008,Comedy,OK,,English
,"Merry Christmas, Drake & Josh ",,2008,Comedy,Less,,English
,Role Models,,2008,Comedy,OK,Seann William Scott,English
,Senior Skip Day,,2008,Comedy,OK,Tara Reid,English
סקס דרייב,Sex Drive,,2008,Comedy,OK,Seth Green,English
מגניבות בע''מ,The Hottie & the Nottie,,2008,Comedy,Less,Paris Hilton,English
בית השפנפנות,The House Bunny,,2008,Comedy,Good,Anna Faris,English
שחק אותה סמארט,Get Smart,,2008,Comedy,Good,Anne Hathaway,English
,RocknRolla,,2008,Comedy,Less,Gerard Butler,English
,Tropic Thunder,,2008,Comedy,Good,Ben Stiller,English
מלחמה בע''מ,"War, Inc.",,2008,Comedy,Good,John Cusack,English
,Meet the Browns,,2008,,Less,Mom's Gloria,English
הנשאים,Carriers,,2009,Horror,Pass,Piper Perabo,English
מקרה 39,Case 39,,2009,Horror,Pass,Renée Zellweger,English
יום שישי ה-13,Friday the 13th,,2009,Horror,Pass,,English
,Jennifer's Body,,2009,Horror,Less,,English
,Screamers: The Hunting ,,2009,Horror,Bad,,English
יעד סופי 4 ,The Final Destination,,2009,Horror,Pass,,English
הבור,The Hole,,2009,Horror,Pass,,English
המפלט האחרון,The Last Resort,,2009,Horror,Pass,,English
בלתי נתפס,The Lodger,,2009,Horror,Pass,,English
,The New Daughter,,2009,Horror,Less,Kevin Costner,English
מעשייה על שתי אחיות,The Uninvited,,2009,Horror,Pass,,English
לכודים בקיר,Walled In,,2009,Horror,Pass,Tim Allen,English
,Capitalism: A Love Story,,2009,Documentry,OK,Michael Moore,English
,Dolphin.Army,,2009,Documentry,OK,,English
,Good Hair,,2009,Documentry,Good,Chris Rock,English
,Home ,,2009,Documentry,OK,,English
,Océans,,2009,Documentry,Good,,English
פיצה באושויץ,Pizza in Auschwitz,,2009,Documentry,Good,,English
,When You're Strange,,2009,Documentry,Good,Jim Morrison,English
יהודי טוב,A Serious Man,,2009,Drama,OK,,English
,A Shine of Rainbows,,2009,Drama,Less,Connie Nielsen,English
,A Single Man,,2009,Drama,OK,Julianne Moore,English
,Amelia,,2009,Drama,OK,Richard Gere,English
,Amreeka,,2009,Drama,OK,,English
,An American Affair,,2009,Drama,OK,Noah Wyle,English
לחנך את ג'ני,An Education,,2009,Drama,Less,,English
מה קרה בבאליבו?,Balibo,,2009,Drama,OK,,English
,Beautiful Kate,,2009,Drama,Less,,English
,Breaking Upwards,,2009,Drama,Less,,English
,Brothers,Brødre,2009,Drama,Good,Natalie Portman,English
,Cairo Time,,2009,Drama,OK,,English
לחצות גבולות,Crossing Over,,2009,Drama,Good,Harrison Ford,English
,Desert Flower,,2009,Drama,OK,,English
הסוד שבעיניים,El secreto de sus ojos,The Secret in Their Eyes,2009,Drama,Less,,Spanish
,Enter the Void,,2009,Drama,Bad,,English
כולם בסדר,Everybody's Fine,,2009,Drama,OK,Robert De Niro,English
,Fish Tank,,2009,Drama,Less,,English
חמש דקות של גן-עדן,Five Minutes of Heaven,,2009,Drama,OK,Liam Neeson,English
בלי חוקים 2,Green Street Hooligans 2,,2009,Drama,Pass,,English
החיים על פי גרטה,Greta,According To Greta,2009,Drama,Less,Hilary Duff,English
זכרונות מאחוזת הגנים האפורים,Grey Gardens,,2009,Drama,OK,Drew Barrymore,English
האצ'יקו,Hachiko: A Dog's Story,,2009,Drama,Good,Richard Gere,English
בסוד העניינים,In the Loop,,2009,Drama,Less,James Gandolfini,English
אלגנטיות של קיפוד,Le hérisson,The Hedgehog,2009,Drama,Less,,French
צלו של ביל,Leaves of Grass,,2009,Drama,Less,Edward Norton,English
,Love and Other Impossible Pursuits,The Other Woman,2009,Drama,OK,Natalie Portman,English
הרקדן האחרון של מאו,Mao's Last Dancer,,2009,Drama,Good,,English
,Middle Men,,2009,Drama,OK,Luke Wilson,English
,Mother and Child,,2009,Drama,Less,Naomi Watts,English
,Mr. Nobody,,2009,Drama,Less,Diane Kruger,English
שומרת אחותי,My Sister's Keeper,,2009,Drama,Good,Cameron Diaz,English
אוהב אותך ניו יורק,"New York, I Love You",,2009,Drama,OK,Natalie Portman,English
,Not Easily Broken,,2009,Drama,OK,,English
אונדין,Ondine,,2009,Drama,OK,Colin Farrell,English
,Polytechnique,,2009,Drama,OK,,French
,Powder Blue,,2009,Drama,Less,Jessica Biel,English
מתפללים למען בובי,Prayers for Bobby,,2009,Drama,Good,Sigourney Weaver,English
פרשס,Precious,,2009,Drama,OK,,English
השתוללות,Rampage,,2009,Drama,Less,,English
,Rien de personnel,The Ordinary People,2009,Drama,OK,,French
התפשטות,Spread,,2009,Drama,OK,Ashton Kutcher,English
,Tetro,,2009,Drama,Less,,English
,That Evening Sun,,2009,Drama,Less,,English
