Movie Hebrew name,Movie name,Extra name,Year,Movie type,Grade,Lead actor\ess,Language
סנג'ורו,Tsubaki Sanjûrô,,1962,Action,OK,Toshirô Mifune,Asian
הציפורים,The Birds,,1963,Thriller,OK,Alfred Hitchcock,English
הפרס,The Prize,,1963,Thriller,Very good,Paul Newman,English
הבריחה הגדולה,The Great Escape,,1963,War,Good,Steve McQueen,English
007 - מרוסיה באהבה,From Russia with Love,,1963,Action,Good,Sean Connery,English
אירמה לה דוס,Irma la Douce,,1963,Comedy,OK,Jack Lemmon,English
"מטורף, מטורף, מטורף העולם","It's a Mad, Mad, Mad, Mad World",,1963,Comedy,Less,Spencer Tracy,English
הפרופסור המטורף,The Nutty Professor,,1963,Comedy,OK,Jerry Lewis,English
זורבה היווני,Alexis Zorbas,Zorba the Greek,1964,Drama,OK,Anthony Quinn,English
סאלח שבתי,סאלח שבתי,Sallah Shabati,1964,Israeli,Good,Topol,English
,Robinson Crusoe on Mars,,1964,SF,Less,,English
לילה של יום מפרך,A Hard Day's Night,,1964,Musical,Less,John Lennon,English
מטריות שרבורג,Les Parapluies de Cherbourg,The Umbrellas of Cherbourg,1964,Musical,Less,Catherine Deneuve,French
גבירתי הנאווה,My Fair Lady,,1964,Musical,Good,Audrey Hepburn,English
מארני,Marnie,,1964,Thriller,OK,Sean Connery,English
ד''ר סטריינג'לאב,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,,1964,War,Very good,Peter Sellers,English
בעבור חופן דולרים,Per un Pugno di Dollari,Fistful of Dollars,1964,Western,Good,Clint Eastwood,English
מרי פופינס,Mary Poppins,,1964,Family,Good,Julie Andrews,English
007 - גולדפינגר,Goldfinger,,1964,Action,Good,Sean Connery,English
יריה באפלה,A Shot in the Dark,Pink Panther 5,1964,Comedy,Good,Peter Sellers,English
לשדוד את הבנק,Let's Rob the Bank,Faites sauter la banque!,1964,Comedy,Pass,Louis de Funès,French
הנער מסינסינטי,The Cincinnati Kid,,1965,Drama,OK,Steve McQueen,English
דוקטור ז'יוואגו,Doctor Zhivago,,1965,Drama,OK,Omar Sharif,English
המרוץ הגדול,The Great Race,,1965,Adventure,OK,Tony Curtis,English
הארום סקארום,Harum Scarum,,1965,Musical,Less,Elvis Presley,English
,Help!,,1965,Musical,OK,The Beatles,English
צלילי המוסיקה,The Sound of Music,,1965,Musical,Good,Julie Andrews,English
תיק איפקרס,The Ipcress File,,1965,Thriller,OK,Michael Caine,English
המרגל ששב מן הכפור,The Spy Who Came in from the Cold,,1965,Thriller,OK,Richard Burton,English
,Battle of the Bulge,,1965,War,Good,Henry Fonda,English
מלך עכברוש,King Rat,,1965,War,OK,George Segal,English
,The Heroes of Telemark ,,1965,War,Good,Kirk Douglas,English
,The Hill,,1965,War,Less,Sean Connery,English
,Von Ryan's Express,,1965,War,OK,Frank Sinatra,English
הצלפים,Per Qualche Dollaro in Pià,For a Few Dollars More,1965,Western,Good,Clint Eastwood,English
007 - כדור הרעם,Thunderball,,1965,Action,Good,Sean Connery,English
,Le corniaud,,1965,Comedy,Pass,Louis de Funès,French
הטל צל ענק,Cast a Giant Shadow,,1966,Drama,Good,Kirk Douglas,English
ג'ורג'י,Georgy Girl,,1966,Drama,Less,James Mason,English
פרסונה,Persona,,1966,Drama,Less,Liv Ullmann,English
התנ''ך,La Bibbia,The Bible    In the Beginning ,1966,Adventure,OK,,English
,Funeral in Berlin,,1966,Thriller,OK,Michael Caine,English
,Torn Curtain,,1966,Thriller,OK,Paul Newman,English
הטוב הרע והמכוער,"Buono, il brutto, il cattivo, Il","The Good, The Bad and The Ugly",1966,Western,Great,Clint Eastwood,English
המקצוענים,The Professionals,,1966,Western,OK,Lee Marvin,English
הפרקליט הגיס והכיס,The Fortune Cookie,,1966,Comedy,Less,Walter Matthau,English
בדם קר,In Cold Blood,,1967,Drama,Less,,English
כחום הלילה,In the Heat of the Night,,1967,Drama,Good,Sidney Poitier,English
הכלה לבשה שחורים,La Mariée Était en Noir,The Bride Wore Black,1967,Drama,Less,,French
הסמוראי,Le Samouraï,,1967,Drama,Less,Alain Delon,French
לאדוני באהבה,"To Sir, with Love",,1967,Drama,Good,Sidney Poitier,English
אילוף הסוררת,La Bisbetica Domata,The Taming of the Shrew,1967,Drama,OK,Elizabeth Taylor,English
המורד,Cool Hand Luke,,1967,Drama,OK,Paul Newman,English
שנים עשר הנועזים,The Dirty Dozen,,1967,War,Very good,Lee Marvin,English
תלה אותם גבוה,Hang 'em High,,1967,Western,Good,Clint Eastwood,English
